risk_score_id,assessment_date,grid_id,kecamatan,kelurahan,threat_type,time_window,risk_score,risk_class,historical_factor,recent_trend_factor,temporal_factor,spatial_factor,context_factor,model_version,window_start,window_end,weights_version
RS-00621,2025-10-08,JKS-012,Cilandak,Cilandak Barat,CURAT,00:00-06:00,72,High,72,82,60,71,74,dummy-v1,2025-10-08T00:00+07:00,2025-10-08T06:00+07:00,dummy-v1
RS-00622,2025-10-08,JKS-012,Cilandak,Cilandak Barat,CURAS,06:00-12:00,37,Low,55,22,22,51,28,dummy-v1,2025-10-08T06:00+07:00,2025-10-08T12:00+07:00,dummy-v1
RS-00623,2025-10-08,JKS-012,Cilandak,Cilandak Barat,CURANMOR,12:00-18:00,49,Moderate,37,60,59,47,40,dummy-v1,2025-10-08T12:00+07:00,2025-10-08T18:00+07:00,dummy-v1
RS-00624,2025-10-08,JKS-012,Cilandak,Cilandak Barat,CURANMOR,18:00-23:59,42,Low,43,50,28,45,43,dummy-v1,2025-10-08T18:00+07:00,2025-10-09T00:00+07:00,dummy-v1
RS-00625,2025-10-15,JKS-012,Cilandak,Cilandak Barat,CURANMOR,00:00-06:00,69,Moderate,71,62,63,74,84,dummy-v1,2025-10-15T00:00+07:00,2025-10-15T06:00+07:00,dummy-v1
RS-00626,2025-10-15,JKS-012,Cilandak,Cilandak Barat,CURAT,06:00-12:00,42,Low,23,54,55,43,42,dummy-v1,2025-10-15T06:00+07:00,2025-10-15T12:00+07:00,dummy-v1
RS-00627,2025-10-15,JKS-012,Cilandak,Cilandak Barat,CURAS,12:00-18:00,34,Low,28,34,38,42,33,dummy-v1,2025-10-15T12:00+07:00,2025-10-15T18:00+07:00,dummy-v1
RS-00628,2025-10-15,JKS-012,Cilandak,Cilandak Barat,CURAS,18:00-23:59,59,Moderate,60,59,50,66,64,dummy-v1,2025-10-15T18:00+07:00,2025-10-16T00:00+07:00,dummy-v1
RS-00629,2025-10-22,JKS-012,Cilandak,Cilandak Barat,CURAS,00:00-06:00,54,Moderate,59,40,50,66,63,dummy-v1,2025-10-22T00:00+07:00,2025-10-22T06:00+07:00,dummy-v1
RS-00630,2025-10-22,JKS-012,Cilandak,Cilandak Barat,CURAS,06:00-12:00,25,Low,33,10,22,32,33,dummy-v1,2025-10-22T06:00+07:00,2025-10-22T12:00+07:00,dummy-v1
RS-00631,2025-10-22,JKS-012,Cilandak,Cilandak Barat,CURAT,12:00-18:00,61,Moderate,80,48,58,56,51,dummy-v1,2025-10-22T12:00+07:00,2025-10-22T18:00+07:00,dummy-v1
RS-00632,2025-10-22,JKS-012,Cilandak,Cilandak Barat,CURANMOR,18:00-23:59,57,Moderate,56,69,46,45,69,dummy-v1,2025-10-22T18:00+07:00,2025-10-23T00:00+07:00,dummy-v1
RS-00633,2025-10-29,JKS-012,Cilandak,Cilandak Barat,CURAS,00:00-06:00,73,High,71,74,80,70,67,dummy-v1,2025-10-29T00:00+07:00,2025-10-29T06:00+07:00,dummy-v1
RS-00634,2025-10-29,JKS-012,Cilandak,Cilandak Barat,CURAS,06:00-12:00,64,Moderate,72,55,63,70,57,dummy-v1,2025-10-29T06:00+07:00,2025-10-29T12:00+07:00,dummy-v1
RS-00635,2025-10-29,JKS-012,Cilandak,Cilandak Barat,CURANMOR,12:00-18:00,53,Moderate,57,42,48,65,61,dummy-v1,2025-10-29T12:00+07:00,2025-10-29T18:00+07:00,dummy-v1
RS-00636,2025-10-29,JKS-012,Cilandak,Cilandak Barat,CURANMOR,18:00-23:59,62,Moderate,63,61,48,76,70,dummy-v1,2025-10-29T18:00+07:00,2025-10-30T00:00+07:00,dummy-v1
RS-00637,2025-11-05,JKS-012,Cilandak,Cilandak Barat,CURAS,00:00-06:00,61,Moderate,65,67,63,46,54,dummy-v1,2025-11-05T00:00+07:00,2025-11-05T06:00+07:00,dummy-v1
RS-00638,2025-11-05,JKS-012,Cilandak,Cilandak Barat,CURAS,06:00-12:00,64,Moderate,63,50,79,66,68,dummy-v1,2025-11-05T06:00+07:00,2025-11-05T12:00+07:00,dummy-v1
RS-00639,2025-11-05,JKS-012,Cilandak,Cilandak Barat,CURAS,12:00-18:00,33,Low,39,32,30,19,45,dummy-v1,2025-11-05T12:00+07:00,2025-11-05T18:00+07:00,dummy-v1
RS-00640,2025-11-05,JKS-012,Cilandak,Cilandak Barat,CURAT,18:00-23:59,72,High,59,81,77,81,66,dummy-v1,2025-11-05T18:00+07:00,2025-11-06T00:00+07:00,dummy-v1
RS-00641,2025-11-12,JKS-012,Cilandak,Cilandak Barat,CURAT,00:00-06:00,45,Moderate,48,48,47,30,46,dummy-v1,2025-11-12T00:00+07:00,2025-11-12T06:00+07:00,dummy-v1
RS-00642,2025-11-12,JKS-012,Cilandak,Cilandak Barat,CURAS,06:00-12:00,38,Low,44,46,28,27,36,dummy-v1,2025-11-12T06:00+07:00,2025-11-12T12:00+07:00,dummy-v1
RS-00643,2025-11-12,JKS-012,Cilandak,Cilandak Barat,CURAS,12:00-18:00,48,Moderate,37,43,56,60,60,dummy-v1,2025-11-12T12:00+07:00,2025-11-12T18:00+07:00,dummy-v1
RS-00644,2025-11-12,JKS-012,Cilandak,Cilandak Barat,CURAT,18:00-23:59,63,Moderate,54,67,71,62,65,dummy-v1,2025-11-12T18:00+07:00,2025-11-13T00:00+07:00,dummy-v1
RS-00645,2025-11-19,JKS-012,Cilandak,Cilandak Barat,CURAT,00:00-06:00,45,Moderate,21,53,55,59,57,dummy-v1,2025-11-19T00:00+07:00,2025-11-19T06:00+07:00,dummy-v1
RS-00646,2025-11-19,JKS-012,Cilandak,Cilandak Barat,CURAS,06:00-12:00,31,Low,36,16,30,39,45,dummy-v1,2025-11-19T06:00+07:00,2025-11-19T12:00+07:00,dummy-v1
RS-00647,2025-11-19,JKS-012,Cilandak,Cilandak Barat,CURANMOR,12:00-18:00,44,Low,34,40,48,57,58,dummy-v1,2025-11-19T12:00+07:00,2025-11-19T18:00+07:00,dummy-v1
RS-00648,2025-11-19,JKS-012,Cilandak,Cilandak Barat,CURAS,18:00-23:59,69,Moderate,63,56,80,81,78,dummy-v1,2025-11-19T18:00+07:00,2025-11-20T00:00+07:00,dummy-v1
RS-00649,2025-11-26,JKS-012,Cilandak,Cilandak Barat,CURAT,00:00-06:00,71,High,89,60,57,78,62,dummy-v1,2025-11-26T00:00+07:00,2025-11-26T06:00+07:00,dummy-v1
RS-00650,2025-11-26,JKS-012,Cilandak,Cilandak Barat,CURANMOR,06:00-12:00,52,Moderate,39,60,67,42,56,dummy-v1,2025-11-26T06:00+07:00,2025-11-26T12:00+07:00,dummy-v1
RS-00651,2025-11-26,JKS-012,Cilandak,Cilandak Barat,CURANMOR,12:00-18:00,55,Moderate,42,65,52,64,62,dummy-v1,2025-11-26T12:00+07:00,2025-11-26T18:00+07:00,dummy-v1
RS-00652,2025-11-26,JKS-012,Cilandak,Cilandak Barat,CURAT,18:00-23:59,76,High,71,83,78,72,76,dummy-v1,2025-11-26T18:00+07:00,2025-11-27T00:00+07:00,dummy-v1
RS-00653,2025-12-03,JKS-012,Cilandak,Cilandak Barat,CURAT,00:00-06:00,42,Low,32,50,51,40,38,dummy-v1,2025-12-03T00:00+07:00,2025-12-03T06:00+07:00,dummy-v1
RS-00654,2025-12-03,JKS-012,Cilandak,Cilandak Barat,CURAT,06:00-12:00,42,Low,52,36,34,50,30,dummy-v1,2025-12-03T06:00+07:00,2025-12-03T12:00+07:00,dummy-v1
RS-00655,2025-12-03,JKS-012,Cilandak,Cilandak Barat,CURAS,12:00-18:00,50,Moderate,74,38,40,36,49,dummy-v1,2025-12-03T12:00+07:00,2025-12-03T18:00+07:00,dummy-v1
RS-00656,2025-12-03,JKS-012,Cilandak,Cilandak Barat,CURAS,18:00-23:59,42,Low,37,46,41,52,33,dummy-v1,2025-12-03T18:00+07:00,2025-12-04T00:00+07:00,dummy-v1
RS-00657,2025-12-10,JKS-012,Cilandak,Cilandak Barat,CURAT,00:00-06:00,38,Low,42,35,36,31,48,dummy-v1,2025-12-10T00:00+07:00,2025-12-10T06:00+07:00,dummy-v1
RS-00658,2025-12-10,JKS-012,Cilandak,Cilandak Barat,CURAT,06:00-12:00,69,Moderate,75,77,61,56,66,dummy-v1,2025-12-10T06:00+07:00,2025-12-10T12:00+07:00,dummy-v1
RS-00659,2025-12-10,JKS-012,Cilandak,Cilandak Barat,CURANMOR,12:00-18:00,50,Moderate,65,36,53,47,38,dummy-v1,2025-12-10T12:00+07:00,2025-12-10T18:00+07:00,dummy-v1
RS-00660,2025-12-10,JKS-012,Cilandak,Cilandak Barat,CURAT,18:00-23:59,36,Low,41,34,37,26,38,dummy-v1,2025-12-10T18:00+07:00,2025-12-11T00:00+07:00,dummy-v1
RS-00661,2025-12-17,JKS-012,Cilandak,Cilandak Barat,CURAT,00:00-06:00,31,Low,37,23,32,32,29,dummy-v1,2025-12-17T00:00+07:00,2025-12-17T06:00+07:00,dummy-v1
RS-00662,2025-12-17,JKS-012,Cilandak,Cilandak Barat,CURANMOR,06:00-12:00,54,Moderate,56,60,43,61,44,dummy-v1,2025-12-17T06:00+07:00,2025-12-17T12:00+07:00,dummy-v1
RS-00663,2025-12-17,JKS-012,Cilandak,Cilandak Barat,CURAS,12:00-18:00,45,Moderate,46,37,50,47,50,dummy-v1,2025-12-17T12:00+07:00,2025-12-17T18:00+07:00,dummy-v1
RS-00664,2025-12-17,JKS-012,Cilandak,Cilandak Barat,CURAS,18:00-23:59,42,Low,28,53,48,42,44,dummy-v1,2025-12-17T18:00+07:00,2025-12-18T00:00+07:00,dummy-v1
RS-00665,2025-12-24,JKS-012,Cilandak,Cilandak Barat,CURAT,00:00-06:00,46,Moderate,45,58,46,33,40,dummy-v1,2025-12-24T00:00+07:00,2025-12-24T06:00+07:00,dummy-v1
RS-00666,2025-12-24,JKS-012,Cilandak,Cilandak Barat,CURANMOR,06:00-12:00,25,Low,4,35,33,37,29,dummy-v1,2025-12-24T06:00+07:00,2025-12-24T12:00+07:00,dummy-v1
RS-00667,2025-12-24,JKS-012,Cilandak,Cilandak Barat,CURAS,12:00-18:00,28,Low,19,35,37,20,32,dummy-v1,2025-12-24T12:00+07:00,2025-12-24T18:00+07:00,dummy-v1
RS-00668,2025-12-24,JKS-012,Cilandak,Cilandak Barat,CURANMOR,18:00-23:59,74,High,82,72,61,72,83,dummy-v1,2025-12-24T18:00+07:00,2025-12-25T00:00+07:00,dummy-v1
RS-00669,2025-12-31,JKS-012,Cilandak,Cilandak Barat,CURAS,00:00-06:00,46,Moderate,51,49,38,40,48,dummy-v1,2025-12-31T00:00+07:00,2025-12-31T06:00+07:00,dummy-v1
RS-00670,2025-12-31,JKS-012,Cilandak,Cilandak Barat,CURAS,06:00-12:00,52,Moderate,70,37,47,51,46,dummy-v1,2025-12-31T06:00+07:00,2025-12-31T12:00+07:00,dummy-v1
RS-00671,2025-12-31,JKS-012,Cilandak,Cilandak Barat,CURANMOR,12:00-18:00,64,Moderate,67,55,74,49,79,dummy-v1,2025-12-31T12:00+07:00,2025-12-31T18:00+07:00,dummy-v1
RS-00672,2025-12-31,JKS-012,Cilandak,Cilandak Barat,CURANMOR,18:00-23:59,86,Critical,80,86,99,80,86,dummy-v1,2025-12-31T18:00+07:00,2026-01-01T00:00+07:00,dummy-v1
RS-00673,2025-10-01,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,00:00-06:00,55,Moderate,84,41,40,45,47,dummy-v1,2025-10-01T00:00+07:00,2025-10-01T06:00+07:00,dummy-v1
RS-00674,2025-10-01,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,06:00-12:00,74,High,70,64,85,84,74,dummy-v1,2025-10-01T06:00+07:00,2025-10-01T12:00+07:00,dummy-v1
RS-00675,2025-10-01,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,12:00-18:00,30,Low,30,31,35,28,21,dummy-v1,2025-10-01T12:00+07:00,2025-10-01T18:00+07:00,dummy-v1
RS-00676,2025-10-01,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,18:00-23:59,66,Moderate,68,66,61,73,60,dummy-v1,2025-10-01T18:00+07:00,2025-10-02T00:00+07:00,dummy-v1
RS-00677,2025-10-08,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,00:00-06:00,56,Moderate,68,43,63,43,59,dummy-v1,2025-10-08T00:00+07:00,2025-10-08T06:00+07:00,dummy-v1
RS-00678,2025-10-08,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,06:00-12:00,44,Low,44,42,43,41,55,dummy-v1,2025-10-08T06:00+07:00,2025-10-08T12:00+07:00,dummy-v1
RS-00679,2025-10-08,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,12:00-18:00,57,Moderate,66,52,44,69,50,dummy-v1,2025-10-08T12:00+07:00,2025-10-08T18:00+07:00,dummy-v1
RS-00680,2025-10-08,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,18:00-23:59,70,High,67,81,56,83,61,dummy-v1,2025-10-08T18:00+07:00,2025-10-09T00:00+07:00,dummy-v1
RS-00681,2025-10-15,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,00:00-06:00,63,Moderate,75,62,52,51,71,dummy-v1,2025-10-15T00:00+07:00,2025-10-15T06:00+07:00,dummy-v1
RS-00682,2025-10-15,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,06:00-12:00,52,Moderate,67,38,48,54,48,dummy-v1,2025-10-15T06:00+07:00,2025-10-15T12:00+07:00,dummy-v1
RS-00683,2025-10-15,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,12:00-18:00,41,Low,52,27,49,31,43,dummy-v1,2025-10-15T12:00+07:00,2025-10-15T18:00+07:00,dummy-v1
RS-00684,2025-10-15,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,18:00-23:59,78,High,80,79,74,74,83,dummy-v1,2025-10-15T18:00+07:00,2025-10-16T00:00+07:00,dummy-v1
RS-00685,2025-10-22,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,00:00-06:00,39,Low,44,33,42,40,32,dummy-v1,2025-10-22T00:00+07:00,2025-10-22T06:00+07:00,dummy-v1
RS-00686,2025-10-22,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,06:00-12:00,49,Moderate,44,57,52,46,42,dummy-v1,2025-10-22T06:00+07:00,2025-10-22T12:00+07:00,dummy-v1
RS-00687,2025-10-22,JKS-013,Pasar Minggu,Pejaten Barat,CURAS,12:00-18:00,38,Low,36,48,27,40,39,dummy-v1,2025-10-22T12:00+07:00,2025-10-22T18:00+07:00,dummy-v1
RS-00688,2025-10-22,JKS-013,Pasar Minggu,Pejaten Barat,CURAS,18:00-23:59,79,High,80,66,84,88,84,dummy-v1,2025-10-22T18:00+07:00,2025-10-23T00:00+07:00,dummy-v1
RS-00689,2025-10-29,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,00:00-06:00,56,Moderate,40,70,49,63,71,dummy-v1,2025-10-29T00:00+07:00,2025-10-29T06:00+07:00,dummy-v1
RS-00690,2025-10-29,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,06:00-12:00,67,Moderate,63,62,69,76,75,dummy-v1,2025-10-29T06:00+07:00,2025-10-29T12:00+07:00,dummy-v1
RS-00691,2025-10-29,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,12:00-18:00,38,Low,24,50,44,30,49,dummy-v1,2025-10-29T12:00+07:00,2025-10-29T18:00+07:00,dummy-v1
RS-00692,2025-10-29,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,18:00-23:59,76,High,88,72,62,79,73,dummy-v1,2025-10-29T18:00+07:00,2025-10-30T00:00+07:00,dummy-v1
RS-00693,2025-11-05,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,00:00-06:00,70,High,70,55,81,80,70,dummy-v1,2025-11-05T00:00+07:00,2025-11-05T06:00+07:00,dummy-v1
RS-00694,2025-11-05,JKS-013,Pasar Minggu,Pejaten Barat,CURAS,06:00-12:00,47,Moderate,40,61,47,39,46,dummy-v1,2025-11-05T06:00+07:00,2025-11-05T12:00+07:00,dummy-v1
RS-00695,2025-11-05,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,12:00-18:00,56,Moderate,66,51,61,48,41,dummy-v1,2025-11-05T12:00+07:00,2025-11-05T18:00+07:00,dummy-v1
RS-00696,2025-11-05,JKS-013,Pasar Minggu,Pejaten Barat,CURAS,18:00-23:59,87,Critical,80,98,82,95,77,dummy-v1,2025-11-05T18:00+07:00,2025-11-06T00:00+07:00,dummy-v1
RS-00697,2025-11-12,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,00:00-06:00,65,Moderate,48,80,79,59,58,dummy-v1,2025-11-12T00:00+07:00,2025-11-12T06:00+07:00,dummy-v1
RS-00698,2025-11-12,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,06:00-12:00,69,Moderate,60,73,68,72,84,dummy-v1,2025-11-12T06:00+07:00,2025-11-12T12:00+07:00,dummy-v1
RS-00699,2025-11-12,JKS-013,Pasar Minggu,Pejaten Barat,CURAS,12:00-18:00,49,Moderate,57,38,46,64,36,dummy-v1,2025-11-12T12:00+07:00,2025-11-12T18:00+07:00,dummy-v1
RS-00700,2025-11-12,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,18:00-23:59,62,Moderate,55,73,69,50,60,dummy-v1,2025-11-12T18:00+07:00,2025-11-13T00:00+07:00,dummy-v1
RS-00701,2025-11-19,JKS-013,Pasar Minggu,Pejaten Barat,CURAS,00:00-06:00,27,Low,44,12,13,32,34,dummy-v1,2025-11-19T00:00+07:00,2025-11-19T06:00+07:00,dummy-v1
RS-00702,2025-11-19,JKS-013,Pasar Minggu,Pejaten Barat,CURAS,06:00-12:00,62,Moderate,63,56,70,53,72,dummy-v1,2025-11-19T06:00+07:00,2025-11-19T12:00+07:00,dummy-v1
RS-00703,2025-11-19,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,12:00-18:00,26,Low,30,25,37,15,11,dummy-v1,2025-11-19T12:00+07:00,2025-11-19T18:00+07:00,dummy-v1
RS-00704,2025-11-19,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,18:00-23:59,67,Moderate,49,82,69,81,57,dummy-v1,2025-11-19T18:00+07:00,2025-11-20T00:00+07:00,dummy-v1
RS-00705,2025-11-26,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,00:00-06:00,62,Moderate,60,70,58,55,66,dummy-v1,2025-11-26T00:00+07:00,2025-11-26T06:00+07:00,dummy-v1
RS-00706,2025-11-26,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,06:00-12:00,58,Moderate,61,51,70,56,44,dummy-v1,2025-11-26T06:00+07:00,2025-11-26T12:00+07:00,dummy-v1
RS-00707,2025-11-26,JKS-013,Pasar Minggu,Pejaten Barat,CURAS,12:00-18:00,30,Low,18,33,41,40,20,dummy-v1,2025-11-26T12:00+07:00,2025-11-26T18:00+07:00,dummy-v1
RS-00708,2025-11-26,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,18:00-23:59,44,Low,45,49,29,50,49,dummy-v1,2025-11-26T18:00+07:00,2025-11-27T00:00+07:00,dummy-v1
RS-00709,2025-12-03,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,00:00-06:00,48,Moderate,70,37,38,44,37,dummy-v1,2025-12-03T00:00+07:00,2025-12-03T06:00+07:00,dummy-v1
RS-00710,2025-12-03,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,06:00-12:00,70,High,65,67,84,73,60,dummy-v1,2025-12-03T06:00+07:00,2025-12-03T12:00+07:00,dummy-v1
RS-00711,2025-12-03,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,12:00-18:00,49,Moderate,60,46,34,54,47,dummy-v1,2025-12-03T12:00+07:00,2025-12-03T18:00+07:00,dummy-v1
RS-00712,2025-12-03,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,18:00-23:59,81,High,67,95,80,87,82,dummy-v1,2025-12-03T18:00+07:00,2025-12-04T00:00+07:00,dummy-v1
RS-00713,2025-12-10,JKS-013,Pasar Minggu,Pejaten Barat,CURAS,00:00-06:00,58,Moderate,69,50,46,61,64,dummy-v1,2025-12-10T00:00+07:00,2025-12-10T06:00+07:00,dummy-v1
RS-00714,2025-12-10,JKS-013,Pasar Minggu,Pejaten Barat,CURAS,06:00-12:00,61,Moderate,40,74,75,66,57,dummy-v1,2025-12-10T06:00+07:00,2025-12-10T12:00+07:00,dummy-v1
RS-00715,2025-12-10,JKS-013,Pasar Minggu,Pejaten Barat,CURAS,12:00-18:00,26,Low,29,13,34,26,33,dummy-v1,2025-12-10T12:00+07:00,2025-12-10T18:00+07:00,dummy-v1
RS-00716,2025-12-10,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,18:00-23:59,71,High,87,61,76,58,58,dummy-v1,2025-12-10T18:00+07:00,2025-12-11T00:00+07:00,dummy-v1
RS-00717,2025-12-17,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,00:00-06:00,38,Low,30,39,33,51,49,dummy-v1,2025-12-17T00:00+07:00,2025-12-17T06:00+07:00,dummy-v1
RS-00718,2025-12-17,JKS-013,Pasar Minggu,Pejaten Barat,CURAS,06:00-12:00,28,Low,36,21,25,30,23,dummy-v1,2025-12-17T06:00+07:00,2025-12-17T12:00+07:00,dummy-v1
RS-00719,2025-12-17,JKS-013,Pasar Minggu,Pejaten Barat,CURAS,12:00-18:00,49,Moderate,64,37,35,53,55,dummy-v1,2025-12-17T12:00+07:00,2025-12-17T18:00+07:00,dummy-v1
RS-00720,2025-12-17,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,18:00-23:59,50,Moderate,61,50,35,39,65,dummy-v1,2025-12-17T18:00+07:00,2025-12-18T00:00+07:00,dummy-v1
RS-00721,2025-12-24,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,00:00-06:00,47,Moderate,54,44,41,43,52,dummy-v1,2025-12-24T00:00+07:00,2025-12-24T06:00+07:00,dummy-v1
RS-00722,2025-12-24,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,06:00-12:00,38,Low,54,24,46,24,31,dummy-v1,2025-12-24T06:00+07:00,2025-12-24T12:00+07:00,dummy-v1
RS-00723,2025-12-24,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,12:00-18:00,28,Low,22,19,43,40,21,dummy-v1,2025-12-24T12:00+07:00,2025-12-24T18:00+07:00,dummy-v1
RS-00724,2025-12-24,JKS-013,Pasar Minggu,Pejaten Barat,CURANMOR,18:00-23:59,74,High,77,72,84,63,67,dummy-v1,2025-12-24T18:00+07:00,2025-12-25T00:00+07:00,dummy-v1
RS-00725,2025-12-31,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,00:00-06:00,58,Moderate,50,69,53,54,71,dummy-v1,2025-12-31T00:00+07:00,2025-12-31T06:00+07:00,dummy-v1
RS-00726,2025-12-31,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,06:00-12:00,42,Low,36,56,38,34,44,dummy-v1,2025-12-31T06:00+07:00,2025-12-31T12:00+07:00,dummy-v1
RS-00727,2025-12-31,JKS-013,Pasar Minggu,Pejaten Barat,CURAT,12:00-18:00,43,Low,45,36,53,28,57,dummy-v1,2025-12-31T12:00+07:00,2025-12-31T18:00+07:00,dummy-v1
RS-00728,2025-12-31,JKS-013,Pasar Minggu,Pejaten Barat,CURAS,18:00-23:59,48,Moderate,58,41,40,59,36,dummy-v1,2025-12-31T18:00+07:00,2026-01-01T00:00+07:00,dummy-v1
RS-00729,2025-10-01,JKS-014,Pasar Minggu,Pejaten Timur,CURAT,00:00-06:00,32,Low,27,31,33,39,36,dummy-v1,2025-10-01T00:00+07:00,2025-10-01T06:00+07:00,dummy-v1
RS-00730,2025-10-01,JKS-014,Pasar Minggu,Pejaten Timur,CURAS,06:00-12:00,66,Moderate,64,56,72,79,66,dummy-v1,2025-10-01T06:00+07:00,2025-10-01T12:00+07:00,dummy-v1
RS-00731,2025-10-01,JKS-014,Pasar Minggu,Pejaten Timur,CURANMOR,12:00-18:00,50,Moderate,72,43,39,41,38,dummy-v1,2025-10-01T12:00+07:00,2025-10-01T18:00+07:00,dummy-v1
RS-00732,2025-10-01,JKS-014,Pasar Minggu,Pejaten Timur,CURAS,18:00-23:59,57,Moderate,74,55,43,55,42,dummy-v1,2025-10-01T18:00+07:00,2025-10-02T00:00+07:00,dummy-v1
RS-00733,2025-10-08,JKS-014,Pasar Minggu,Pejaten Timur,CURAT,00:00-06:00,33,Low,22,43,27,44,36,dummy-v1,2025-10-08T00:00+07:00,2025-10-08T06:00+07:00,dummy-v1
RS-00734,2025-10-08,JKS-014,Pasar Minggu,Pejaten Timur,CURAS,06:00-12:00,40,Low,33,54,29,37,54,dummy-v1,2025-10-08T06:00+07:00,2025-10-08T12:00+07:00,dummy-v1
RS-00735,2025-10-08,JKS-014,Pasar Minggu,Pejaten Timur,CURAS,12:00-18:00,32,Low,35,33,18,37,41,dummy-v1,2025-10-08T12:00+07:00,2025-10-08T18:00+07:00,dummy-v1
RS-00736,2025-10-08,JKS-014,Pasar Minggu,Pejaten Timur,CURAT,18:00-23:59,52,Moderate,52,56,41,51,65,dummy-v1,2025-10-08T18:00+07:00,2025-10-09T00:00+07:00,dummy-v1
RS-00737,2025-10-15,JKS-014,Pasar Minggu,Pejaten Timur,CURAS,00:00-06:00,30,Low,24,19,44,37,36,dummy-v1,2025-10-15T00:00+07:00,2025-10-15T06:00+07:00,dummy-v1
RS-00738,2025-10-15,JKS-014,Pasar Minggu,Pejaten Timur,CURAS,06:00-12:00,38,Low,26,41,53,29,49,dummy-v1,2025-10-15T06:00+07:00,2025-10-15T12:00+07:00,dummy-v1
RS-00739,2025-10-15,JKS-014,Pasar Minggu,Pejaten Timur,CURAS,12:00-18:00,56,Moderate,32,64,69,71,60,dummy-v1,2025-10-15T12:00+07:00,2025-10-15T18:00+07:00,dummy-v1
RS-00740,2025-10-15,JKS-014,Pasar Minggu,Pejaten Timur,CURAT,18:00-23:59,59,Moderate,73,61,45,45,61,dummy-v1,2025-10-15T18:00+07:00,2025-10-16T00:00+07:00,dummy-v1
RS-00741,2025-10-22,JKS-014,Pasar Minggu,Pejaten Timur,CURANMOR,00:00-06:00,39,Low,46,46,24,31,42,dummy-v1,2025-10-22T00:00+07:00,2025-10-22T06:00+07:00,dummy-v1
RS-00742,2025-10-22,JKS-014,Pasar Minggu,Pejaten Timur,CURAS,06:00-12:00,38,Low,48,33,44,23,31,dummy-v1,2025-10-22T06:00+07:00,2025-10-22T12:00+07:00,dummy-v1
RS-00743,2025-10-22,JKS-014,Pasar Minggu,Pejaten Timur,CURAS,12:00-18:00,53,Moderate,56,54,51,52,48,dummy-v1,2025-10-22T12:00+07:00,2025-10-22T18:00+07:00,dummy-v1
RS-00744,2025-10-22,JKS-014,Pasar Minggu,Pejaten Timur,CURAT,18:00-23:59,51,Moderate,55,51,39,56,56,dummy-v1,2025-10-22T18:00+07:00,2025-10-23T00:00+07:00,dummy-v1
RS-00745,2025-10-29,JKS-014,Pasar Minggu,Pejaten Timur,CURAS,00:00-06:00,39,Low,42,33,38,51,30,dummy-v1,2025-10-29T00:00+07:00,2025-10-29T06:00+07:00,dummy-v1
RS-00746,2025-10-29,JKS-014,Pasar Minggu,Pejaten Timur,CURAS,06:00-12:00,62,Moderate,56,51,73,72,70,dummy-v1,2025-10-29T06:00+07:00,2025-10-29T12:00+07:00,dummy-v1
RS-00747,2025-10-29,JKS-014,Pasar Minggu,Pejaten Timur,CURAT,12:00-18:00,65,Moderate,82,52,53,67,67,dummy-v1,2025-10-29T12:00+07:00,2025-10-29T18:00+07:00,dummy-v1
