risk_score_id,assessment_date,grid_id,kecamatan,kelurahan,threat_type,time_window,risk_score,risk_class,historical_factor,recent_trend_factor,temporal_factor,spatial_factor,context_factor,model_version,is_synthetic
RS-00454,2025-10-08,JKS-009,Cilandak,Cipete Selatan,CURAS,06:00-12:00,67,Moderate,29,21,16,18,9,dummy-v1,True
RS-00455,2025-10-08,JKS-009,Cilandak,Cipete Selatan,CURAS,12:00-18:00,54,Moderate,19,16,5,6,1,dummy-v1,True
RS-00456,2025-10-08,JKS-009,Cilandak,Cipete Selatan,CURAT,18:00-23:59,80,High,18,22,20,13,5,dummy-v1,True
RS-00457,2025-10-15,JKS-009,Cilandak,Cipete Selatan,CURAS,00:00-06:00,34,Low,20,17,12,17,8,dummy-v1,True
RS-00458,2025-10-15,JKS-009,Cilandak,Cipete Selatan,CURAS,06:00-12:00,68,Moderate,25,12,10,12,7,dummy-v1,True
RS-00459,2025-10-15,JKS-009,Cilandak,Cipete Selatan,CURAT,12:00-18:00,58,Moderate,20,21,14,6,6,dummy-v1,True
RS-00460,2025-10-15,JKS-009,Cilandak,Cipete Selatan,CURAT,18:00-23:59,51,Moderate,15,21,16,18,4,dummy-v1,True
RS-00461,2025-10-22,JKS-009,Cilandak,Cipete Selatan,CURANMOR,00:00-06:00,26,Low,11,24,18,10,1,dummy-v1,True
RS-00462,2025-10-22,JKS-009,Cilandak,Cipete Selatan,CURAT,06:00-12:00,52,Moderate,21,11,20,7,2,dummy-v1,True
RS-00463,2025-10-22,JKS-009,Cilandak,Cipete Selatan,CURAS,12:00-18:00,39,Low,16,12,11,7,2,dummy-v1,True
RS-00464,2025-10-22,JKS-009,Cilandak,Cipete Selatan,CURANMOR,18:00-23:59,54,Moderate,27,11,7,9,6,dummy-v1,True
RS-00465,2025-10-29,JKS-009,Cilandak,Cipete Selatan,CURAT,00:00-06:00,37,Low,27,8,8,12,10,dummy-v1,True
RS-00466,2025-10-29,JKS-009,Cilandak,Cipete Selatan,CURANMOR,06:00-12:00,25,Low,15,8,10,17,5,dummy-v1,True
RS-00467,2025-10-29,JKS-009,Cilandak,Cipete Selatan,CURAT,12:00-18:00,53,Moderate,18,18,16,8,7,dummy-v1,True
RS-00468,2025-10-29,JKS-009,Cilandak,Cipete Selatan,CURANMOR,18:00-23:59,51,Moderate,12,8,12,20,10,dummy-v1,True
RS-00469,2025-11-05,JKS-009,Cilandak,Cipete Selatan,CURAT,00:00-06:00,51,Moderate,11,12,11,5,1,dummy-v1,True
RS-00470,2025-11-05,JKS-009,Cilandak,Cipete Selatan,CURANMOR,06:00-12:00,51,Moderate,20,7,6,20,0,dummy-v1,True
RS-00471,2025-11-05,JKS-009,Cilandak,Cipete Selatan,CURAS,12:00-18:00,31,Low,25,10,18,11,10,dummy-v1,True
RS-00472,2025-11-05,JKS-009,Cilandak,Cipete Selatan,CURAS,18:00-23:59,65,Moderate,30,23,10,13,0,dummy-v1,True
RS-00473,2025-11-12,JKS-009,Cilandak,Cipete Selatan,CURANMOR,00:00-06:00,45,Moderate,29,13,15,17,10,dummy-v1,True
RS-00474,2025-11-12,JKS-009,Cilandak,Cipete Selatan,CURANMOR,06:00-12:00,57,Moderate,29,5,7,20,3,dummy-v1,True
RS-00475,2025-11-12,JKS-009,Cilandak,Cipete Selatan,CURANMOR,12:00-18:00,41,Low,15,21,14,15,9,dummy-v1,True
RS-00476,2025-11-12,JKS-009,Cilandak,Cipete Selatan,CURANMOR,18:00-23:59,86,Critical,13,24,18,5,1,dummy-v1,True
RS-00477,2025-11-19,JKS-009,Cilandak,Cipete Selatan,CURAT,00:00-06:00,35,Low,30,22,7,13,4,dummy-v1,True
RS-00478,2025-11-19,JKS-009,Cilandak,Cipete Selatan,CURANMOR,06:00-12:00,57,Moderate,12,5,7,15,5,dummy-v1,True
RS-00479,2025-11-19,JKS-009,Cilandak,Cipete Selatan,CURANMOR,12:00-18:00,34,Low,21,16,5,15,1,dummy-v1,True
RS-00480,2025-11-19,JKS-009,Cilandak,Cipete Selatan,CURAT,18:00-23:59,64,Moderate,21,17,9,9,0,dummy-v1,True
RS-00481,2025-11-26,JKS-009,Cilandak,Cipete Selatan,CURANMOR,00:00-06:00,29,Low,28,8,11,11,0,dummy-v1,True
RS-00482,2025-11-26,JKS-009,Cilandak,Cipete Selatan,CURAT,06:00-12:00,67,Moderate,22,16,18,20,8,dummy-v1,True
RS-00483,2025-11-26,JKS-009,Cilandak,Cipete Selatan,CURAS,12:00-18:00,61,Moderate,19,15,13,14,9,dummy-v1,True
RS-00484,2025-11-26,JKS-009,Cilandak,Cipete Selatan,CURANMOR,18:00-23:59,44,Low,27,9,20,18,9,dummy-v1,True
RS-00485,2025-12-03,JKS-009,Cilandak,Cipete Selatan,CURAS,00:00-06:00,40,Low,13,13,19,16,10,dummy-v1,True
RS-00486,2025-12-03,JKS-009,Cilandak,Cipete Selatan,CURAS,06:00-12:00,72,High,30,8,6,7,6,dummy-v1,True
RS-00487,2025-12-03,JKS-009,Cilandak,Cipete Selatan,CURAT,12:00-18:00,52,Moderate,10,22,16,12,7,dummy-v1,True
RS-00488,2025-12-03,JKS-009,Cilandak,Cipete Selatan,CURAT,18:00-23:59,72,High,20,5,11,16,10,dummy-v1,True
RS-00489,2025-12-10,JKS-009,Cilandak,Cipete Selatan,CURANMOR,00:00-06:00,32,Low,23,23,12,7,5,dummy-v1,True
RS-00490,2025-12-10,JKS-009,Cilandak,Cipete Selatan,CURAS,06:00-12:00,60,Moderate,19,14,8,12,6,dummy-v1,True
RS-00491,2025-12-10,JKS-009,Cilandak,Cipete Selatan,CURANMOR,12:00-18:00,39,Low,19,11,18,7,2,dummy-v1,True
RS-00492,2025-12-10,JKS-009,Cilandak,Cipete Selatan,CURAS,18:00-23:59,83,High,21,5,20,7,10,dummy-v1,True
RS-00493,2025-12-17,JKS-009,Cilandak,Cipete Selatan,CURAT,00:00-06:00,25,Low,11,11,12,19,5,dummy-v1,True
RS-00494,2025-12-17,JKS-009,Cilandak,Cipete Selatan,CURANMOR,06:00-12:00,34,Low,30,17,5,12,7,dummy-v1,True
RS-00495,2025-12-17,JKS-009,Cilandak,Cipete Selatan,CURAS,12:00-18:00,47,Moderate,10,19,19,16,2,dummy-v1,True
RS-00496,2025-12-17,JKS-009,Cilandak,Cipete Selatan,CURAT,18:00-23:59,75,High,19,16,14,13,3,dummy-v1,True
RS-00497,2025-12-24,JKS-009,Cilandak,Cipete Selatan,CURANMOR,00:00-06:00,30,Low,23,17,13,19,5,dummy-v1,True
RS-00498,2025-12-24,JKS-009,Cilandak,Cipete Selatan,CURANMOR,06:00-12:00,59,Moderate,24,7,9,17,9,dummy-v1,True
RS-00499,2025-12-24,JKS-009,Cilandak,Cipete Selatan,CURANMOR,12:00-18:00,71,High,15,22,7,14,8,dummy-v1,True
RS-00500,2025-12-24,JKS-009,Cilandak,Cipete Selatan,CURAS,18:00-23:59,40,Low,20,12,18,10,0,dummy-v1,True
RS-00501,2025-12-31,JKS-009,Cilandak,Cipete Selatan,CURAT,00:00-06:00,58,Moderate,11,17,17,10,4,dummy-v1,True
RS-00502,2025-12-31,JKS-009,Cilandak,Cipete Selatan,CURANMOR,06:00-12:00,30,Low,24,7,16,14,3,dummy-v1,True
RS-00503,2025-12-31,JKS-009,Cilandak,Cipete Selatan,CURAT,12:00-18:00,41,Low,11,24,17,19,4,dummy-v1,True
RS-00504,2025-12-31,JKS-009,Cilandak,Cipete Selatan,CURAT,18:00-23:59,55,Moderate,26,5,6,5,7,dummy-v1,True
RS-00505,2025-10-01,JKS-010,Cilandak,Gandaria Selatan,CURAT,00:00-06:00,53,Moderate,18,19,20,9,2,dummy-v1,True
RS-00506,2025-10-01,JKS-010,Cilandak,Gandaria Selatan,CURAS,06:00-12:00,57,Moderate,22,18,10,9,6,dummy-v1,True
RS-00507,2025-10-01,JKS-010,Cilandak,Gandaria Selatan,CURAS,12:00-18:00,61,Moderate,13,25,16,18,10,dummy-v1,True
RS-00508,2025-10-01,JKS-010,Cilandak,Gandaria Selatan,CURAS,18:00-23:59,65,Moderate,19,14,17,16,10,dummy-v1,True
RS-00509,2025-10-08,JKS-010,Cilandak,Gandaria Selatan,CURAT,00:00-06:00,65,Moderate,11,18,11,5,7,dummy-v1,True
RS-00510,2025-10-08,JKS-010,Cilandak,Gandaria Selatan,CURANMOR,06:00-12:00,44,Low,22,11,10,5,5,dummy-v1,True
RS-00511,2025-10-08,JKS-010,Cilandak,Gandaria Selatan,CURANMOR,12:00-18:00,43,Low,12,13,9,16,9,dummy-v1,True
RS-00512,2025-10-08,JKS-010,Cilandak,Gandaria Selatan,CURANMOR,18:00-23:59,83,High,24,5,12,11,3,dummy-v1,True
RS-00513,2025-10-15,JKS-010,Cilandak,Gandaria Selatan,CURAT,00:00-06:00,66,Moderate,13,12,8,14,3,dummy-v1,True
RS-00514,2025-10-15,JKS-010,Cilandak,Gandaria Selatan,CURAT,06:00-12:00,54,Moderate,21,14,13,15,1,dummy-v1,True
RS-00515,2025-10-15,JKS-010,Cilandak,Gandaria Selatan,CURAS,12:00-18:00,40,Low,28,16,8,5,2,dummy-v1,True
RS-00516,2025-10-15,JKS-010,Cilandak,Gandaria Selatan,CURAS,18:00-23:59,72,High,15,5,19,15,7,dummy-v1,True
RS-00517,2025-10-22,JKS-010,Cilandak,Gandaria Selatan,CURANMOR,00:00-06:00,33,Low,14,11,6,10,7,dummy-v1,True
RS-00518,2025-10-22,JKS-010,Cilandak,Gandaria Selatan,CURAT,06:00-12:00,48,Moderate,19,12,16,20,5,dummy-v1,True
RS-00519,2025-10-22,JKS-010,Cilandak,Gandaria Selatan,CURAS,12:00-18:00,46,Moderate,12,22,9,18,8,dummy-v1,True
RS-00520,2025-10-22,JKS-010,Cilandak,Gandaria Selatan,CURAT,18:00-23:59,64,Moderate,15,20,8,18,3,dummy-v1,True
RS-00521,2025-10-29,JKS-010,Cilandak,Gandaria Selatan,CURAT,00:00-06:00,61,Moderate,20,25,13,8,6,dummy-v1,True
RS-00522,2025-10-29,JKS-010,Cilandak,Gandaria Selatan,CURAS,06:00-12:00,29,Low,24,17,16,12,7,dummy-v1,True
RS-00523,2025-10-29,JKS-010,Cilandak,Gandaria Selatan,CURAS,12:00-18:00,50,Moderate,28,14,5,20,4,dummy-v1,True
RS-00524,2025-10-29,JKS-010,Cilandak,Gandaria Selatan,CURAT,18:00-23:59,40,Low,19,25,13,10,10,dummy-v1,True
RS-00525,2025-11-05,JKS-010,Cilandak,Gandaria Selatan,CURAS,00:00-06:00,35,Low,25,18,15,7,5,dummy-v1,True
RS-00526,2025-11-05,JKS-010,Cilandak,Gandaria Selatan,CURAS,06:00-12:00,52,Moderate,13,9,10,13,2,dummy-v1,True
RS-00527,2025-11-05,JKS-010,Cilandak,Gandaria Selatan,CURAT,12:00-18:00,41,Low,17,8,11,6,10,dummy-v1,True
RS-00528,2025-11-05,JKS-010,Cilandak,Gandaria Selatan,CURAT,18:00-23:59,55,Moderate,25,16,13,19,6,dummy-v1,True
RS-00529,2025-11-12,JKS-010,Cilandak,Gandaria Selatan,CURANMOR,00:00-06:00,66,Moderate,26,22,13,14,6,dummy-v1,True
RS-00530,2025-11-12,JKS-010,Cilandak,Gandaria Selatan,CURAS,06:00-12:00,59,Moderate,25,25,5,17,9,dummy-v1,True
RS-00531,2025-11-12,JKS-010,Cilandak,Gandaria Selatan,CURAS,12:00-18:00,59,Moderate,29,24,11,9,8,dummy-v1,True
RS-00532,2025-11-12,JKS-010,Cilandak,Gandaria Selatan,CURANMOR,18:00-23:59,53,Moderate,20,15,20,12,10,dummy-v1,True
RS-00533,2025-11-19,JKS-010,Cilandak,Gandaria Selatan,CURAS,00:00-06:00,26,Low,30,14,10,20,10,dummy-v1,True
RS-00534,2025-11-19,JKS-010,Cilandak,Gandaria Selatan,CURANMOR,06:00-12:00,28,Low,14,15,16,20,3,dummy-v1,True
RS-00535,2025-11-19,JKS-010,Cilandak,Gandaria Selatan,CURAT,12:00-18:00,70,High,29,24,19,12,10,dummy-v1,True
RS-00536,2025-11-19,JKS-010,Cilandak,Gandaria Selatan,CURANMOR,18:00-23:59,78,High,30,20,12,7,6,dummy-v1,True
RS-00537,2025-11-26,JKS-010,Cilandak,Gandaria Selatan,CURAS,00:00-06:00,73,High,24,16,9,6,7,dummy-v1,True
RS-00538,2025-11-26,JKS-010,Cilandak,Gandaria Selatan,CURAT,06:00-12:00,61,Moderate,12,5,18,20,9,dummy-v1,True
RS-00539,2025-11-26,JKS-010,Cilandak,Gandaria Selatan,CURAT,12:00-18:00,55,Moderate,19,15,14,16,7,dummy-v1,True
RS-00540,2025-11-26,JKS-010,Cilandak,Gandaria Selatan,CURAS,18:00-23:59,42,Low,24,21,15,17,0,dummy-v1,True
RS-00541,2025-12-03,JKS-010,Cilandak,Gandaria Selatan,CURAS,00:00-06:00,47,Moderate,16,13,6,11,1,dummy-v1,True
RS-00542,2025-12-03,JKS-010,Cilandak,Gandaria Selatan,CURAT,06:00-12:00,54,Moderate,21,22,9,20,8,dummy-v1,True
RS-00543,2025-12-03,JKS-010,Cilandak,Gandaria Selatan,CURAT,12:00-18:00,65,Moderate,10,15,18,11,9,dummy-v1,True
RS-00544,2025-12-03,JKS-010,Cilandak,Gandaria Selatan,CURAT,18:00-23:59,50,Moderate,28,14,5,6,5,dummy-v1,True
RS-00545,2025-12-10,JKS-010,Cilandak,Gandaria Selatan,CURAT,00:00-06:00,38,Low,27,6,8,7,7,dummy-v1,True
RS-00546,2025-12-10,JKS-010,Cilandak,Gandaria Selatan,CURAT,06:00-12:00,55,Moderate,29,11,13,17,1,dummy-v1,True
RS-00547,2025-12-10,JKS-010,Cilandak,Gandaria Selatan,CURAS,12:00-18:00,46,Moderate,10,10,20,12,6,dummy-v1,True
RS-00548,2025-12-10,JKS-010,Cilandak,Gandaria Selatan,CURAT,18:00-23:59,60,Moderate,13,19,9,9,10,dummy-v1,True
RS-00549,2025-12-17,JKS-010,Cilandak,Gandaria Selatan,CURAS,00:00-06:00,26,Low,27,8,19,16,10,dummy-v1,True
RS-00550,2025-12-17,JKS-010,Cilandak,Gandaria Selatan,CURANMOR,06:00-12:00,27,Low,25,10,6,14,5,dummy-v1,True
RS-00551,2025-12-17,JKS-010,Cilandak,Gandaria Selatan,CURAS,12:00-18:00,33,Low,23,21,13,16,10,dummy-v1,True
RS-00552,2025-12-17,JKS-010,Cilandak,Gandaria Selatan,CURAT,18:00-23:59,49,Moderate,25,5,10,17,0,dummy-v1,True
RS-00553,2025-12-24,JKS-010,Cilandak,Gandaria Selatan,CURAT,00:00-06:00,55,Moderate,11,16,15,11,6,dummy-v1,True
RS-00554,2025-12-24,JKS-010,Cilandak,Gandaria Selatan,CURAT,06:00-12:00,52,Moderate,21,5,16,15,10,dummy-v1,True
RS-00555,2025-12-24,JKS-010,Cilandak,Gandaria Selatan,CURAS,12:00-18:00,26,Low,11,21,13,10,2,dummy-v1,True
RS-00556,2025-12-24,JKS-010,Cilandak,Gandaria Selatan,CURAS,18:00-23:59,62,Moderate,28,24,20,14,0,dummy-v1,True
RS-00557,2025-12-31,JKS-010,Cilandak,Gandaria Selatan,CURAS,00:00-06:00,30,Low,18,6,9,9,6,dummy-v1,True
RS-00558,2025-12-31,JKS-010,Cilandak,Gandaria Selatan,CURAT,06:00-12:00,29,Low,19,8,16,19,9,dummy-v1,True
RS-00559,2025-12-31,JKS-010,Cilandak,Gandaria Selatan,CURAT,12:00-18:00,54,Moderate,14,17,8,13,1,dummy-v1,True
RS-00560,2025-12-31,JKS-010,Cilandak,Gandaria Selatan,CURAS,18:00-23:59,78,High,13,13,14,17,9,dummy-v1,True
RS-00561,2025-10-01,JKS-011,Cilandak,Lebak Bulus,CURAT,00:00-06:00,66,Moderate,18,14,13,5,5,dummy-v1,True
RS-00562,2025-10-01,JKS-011,Cilandak,Lebak Bulus,CURAT,06:00-12:00,40,Low,23,17,10,20,7,dummy-v1,True
RS-00563,2025-10-01,JKS-011,Cilandak,Lebak Bulus,CURAS,12:00-18:00,47,Moderate,27,24,5,20,10,dummy-v1,True
RS-00564,2025-10-01,JKS-011,Cilandak,Lebak Bulus,CURAS,18:00-23:59,84,High,13,10,10,13,7,dummy-v1,True
RS-00565,2025-10-08,JKS-011,Cilandak,Lebak Bulus,CURANMOR,00:00-06:00,46,Moderate,15,8,9,7,8,dummy-v1,True
RS-00566,2025-10-08,JKS-011,Cilandak,Lebak Bulus,CURAS,06:00-12:00,39,Low,11,21,14,16,6,dummy-v1,True
RS-00567,2025-10-08,JKS-011,Cilandak,Lebak Bulus,CURANMOR,12:00-18:00,58,Moderate,10,9,15,8,0,dummy-v1,True
RS-00568,2025-10-08,JKS-011,Cilandak,Lebak Bulus,CURANMOR,18:00-23:59,36,Low,12,20,20,16,8,dummy-v1,True
RS-00569,2025-10-15,JKS-011,Cilandak,Lebak Bulus,CURAT,00:00-06:00,38,Low,25,21,16,8,0,dummy-v1,True
RS-00570,2025-10-15,JKS-011,Cilandak,Lebak Bulus,CURAT,06:00-12:00,57,Moderate,30,21,15,7,6,dummy-v1,True
RS-00571,2025-10-15,JKS-011,Cilandak,Lebak Bulus,CURAT,12:00-18:00,54,Moderate,29,6,13,16,8,dummy-v1,True
RS-00572,2025-10-15,JKS-011,Cilandak,Lebak Bulus,CURAS,18:00-23:59,86,Critical,22,20,19,17,6,dummy-v1,True
RS-00573,2025-10-22,JKS-011,Cilandak,Lebak Bulus,CURAS,00:00-06:00,38,Low,11,16,14,20,7,dummy-v1,True
RS-00574,2025-10-22,JKS-011,Cilandak,Lebak Bulus,CURANMOR,06:00-12:00,73,High,29,14,6,7,9,dummy-v1,True
RS-00575,2025-10-22,JKS-011,Cilandak,Lebak Bulus,CURAT,12:00-18:00,53,Moderate,25,8,7,9,6,dummy-v1,True
RS-00576,2025-10-22,JKS-011,Cilandak,Lebak Bulus,CURAT,18:00-23:59,74,High,29,24,11,17,3,dummy-v1,True
RS-00577,2025-10-29,JKS-011,Cilandak,Lebak Bulus,CURANMOR,00:00-06:00,56,Moderate,24,22,6,15,9,dummy-v1,True
RS-00578,2025-10-29,JKS-011,Cilandak,Lebak Bulus,CURAT,06:00-12:00,29,Low,27,10,16,19,5,dummy-v1,True
RS-00579,2025-10-29,JKS-011,Cilandak,Lebak Bulus,CURAS,12:00-18:00,68,Moderate,10,11,16,19,6,dummy-v1,True
RS-00580,2025-10-29,JKS-011,Cilandak,Lebak Bulus,CURAS,18:00-23:59,41,Low,21,17,10,8,9,dummy-v1,True
RS-00581,2025-11-05,JKS-011,Cilandak,Lebak Bulus,CURAS,00:00-06:00,52,Moderate,14,8,7,19,9,dummy-v1,True
RS-00582,2025-11-05,JKS-011,Cilandak,Lebak Bulus,CURANMOR,06:00-12:00,47,Moderate,16,7,13,18,10,dummy-v1,True
RS-00583,2025-11-05,JKS-011,Cilandak,Lebak Bulus,CURAS,12:00-18:00,72,High,27,7,18,5,6,dummy-v1,True
RS-00584,2025-11-05,JKS-011,Cilandak,Lebak Bulus,CURANMOR,18:00-23:59,72,High,25,16,15,18,1,dummy-v1,True
RS-00585,2025-11-12,JKS-011,Cilandak,Lebak Bulus,CURAS,00:00-06:00,30,Low,26,12,9,13,2,dummy-v1,True
RS-00586,2025-11-12,JKS-011,Cilandak,Lebak Bulus,CURAS,06:00-12:00,58,Moderate,20,17,14,19,4,dummy-v1,True
RS-00587,2025-11-12,JKS-011,Cilandak,Lebak Bulus,CURAT,12:00-18:00,63,Moderate,21,7,20,8,8,dummy-v1,True
RS-00588,2025-11-12,JKS-011,Cilandak,Lebak Bulus,CURANMOR,18:00-23:59,84,High,17,10,16,7,8,dummy-v1,True
RS-00589,2025-11-19,JKS-011,Cilandak,Lebak Bulus,CURAS,00:00-06:00,65,Moderate,15,6,11,19,8,dummy-v1,True
RS-00590,2025-11-19,JKS-011,Cilandak,Lebak Bulus,CURAS,06:00-12:00,49,Moderate,27,16,9,15,9,dummy-v1,True
RS-00591,2025-11-19,JKS-011,Cilandak,Lebak Bulus,CURAT,12:00-18:00,59,Moderate,11,16,16,15,9,dummy-v1,True
RS-00592,2025-11-19,JKS-011,Cilandak,Lebak Bulus,CURAT,18:00-23:59,85,Critical,11,5,8,19,5,dummy-v1,True
RS-00593,2025-11-26,JKS-011,Cilandak,Lebak Bulus,CURAT,00:00-06:00,66,Moderate,29,5,5,13,0,dummy-v1,True
RS-00594,2025-11-26,JKS-011,Cilandak,Lebak Bulus,CURAS,06:00-12:00,47,Moderate,21,19,18,11,0,dummy-v1,True
RS-00595,2025-11-26,JKS-011,Cilandak,Lebak Bulus,CURAT,12:00-18:00,57,Moderate,12,18,16,15,6,dummy-v1,True
RS-00596,2025-11-26,JKS-011,Cilandak,Lebak Bulus,CURANMOR,18:00-23:59,42,Low,24,21,16,20,6,dummy-v1,True
RS-00597,2025-12-03,JKS-011,Cilandak,Lebak Bulus,CURAT,00:00-06:00,65,Moderate,10,20,7,11,8,dummy-v1,True
RS-00598,2025-12-03,JKS-011,Cilandak,Lebak Bulus,CURAT,06:00-12:00,41,Low,23,22,9,19,6,dummy-v1,True
RS-00599,2025-12-03,JKS-011,Cilandak,Lebak Bulus,CURAT,12:00-18:00,63,Moderate,25,11,16,8,5,dummy-v1,True
RS-00600,2025-12-03,JKS-011,Cilandak,Lebak Bulus,CURAS,18:00-23:59,60,Moderate,26,12,6,7,4,dummy-v1,True
RS-00601,2025-12-10,JKS-011,Cilandak,Lebak Bulus,CURAS,00:00-06:00,31,Low,13,15,16,18,2,dummy-v1,True
RS-00602,2025-12-10,JKS-011,Cilandak,Lebak Bulus,CURANMOR,06:00-12:00,43,Low,20,17,12,5,5,dummy-v1,True
RS-00603,2025-12-10,JKS-011,Cilandak,Lebak Bulus,CURAT,12:00-18:00,72,High,23,22,5,8,1,dummy-v1,True
RS-00604,2025-12-10,JKS-011,Cilandak,Lebak Bulus,CURAT,18:00-23:59,73,High,13,5,12,8,9,dummy-v1,True
RS-00605,2025-12-17,JKS-011,Cilandak,Lebak Bulus,CURAS,00:00-06:00,35,Low,23,20,14,11,3,dummy-v1,True
RS-00606,2025-12-17,JKS-011,Cilandak,Lebak Bulus,CURAT,06:00-12:00,36,Low,11,10,19,8,5,dummy-v1,True
RS-00607,2025-12-17,JKS-011,Cilandak,Lebak Bulus,CURAS,12:00-18:00,40,Low,10,25,20,16,2,dummy-v1,True
RS-00608,2025-12-17,JKS-011,Cilandak,Lebak Bulus,CURAS,18:00-23:59,81,High,26,13,9,17,1,dummy-v1,True
RS-00609,2025-12-24,JKS-011,Cilandak,Lebak Bulus,CURAS,00:00-06:00,26,Low,25,21,14,7,9,dummy-v1,True
RS-00610,2025-12-24,JKS-011,Cilandak,Lebak Bulus,CURAT,06:00-12:00,57,Moderate,23,13,16,13,7,dummy-v1,True
RS-00611,2025-12-24,JKS-011,Cilandak,Lebak Bulus,CURAS,12:00-18:00,54,Moderate,11,5,15,15,8,dummy-v1,True
RS-00612,2025-12-24,JKS-011,Cilandak,Lebak Bulus,CURANMOR,18:00-23:59,55,Moderate,25,23,14,14,10,dummy-v1,True
RS-00613,2025-12-31,JKS-011,Cilandak,Lebak Bulus,CURAT,00:00-06:00,29,Low,24,7,13,17,0,dummy-v1,True
RS-00614,2025-12-31,JKS-011,Cilandak,Lebak Bulus,CURAS,06:00-12:00,25,Low,15,15,18,6,0,dummy-v1,True
RS-00615,2025-12-31,JKS-011,Cilandak,Lebak Bulus,CURAS,12:00-18:00,48,Moderate,19,14,17,16,0,dummy-v1,True
RS-00616,2025-12-31,JKS-011,Cilandak,Lebak Bulus,CURANMOR,18:00-23:59,77,High,25,24,10,5,3,dummy-v1,True
RS-00617,2025-10-01,JKS-012,Cilandak,Cilandak Barat,CURANMOR,00:00-06:00,29,Low,22,13,8,13,7,dummy-v1,True
RS-00618,2025-10-01,JKS-012,Cilandak,Cilandak Barat,CURANMOR,06:00-12:00,64,Moderate,11,19,18,7,9,dummy-v1,True
RS-00619,2025-10-01,JKS-012,Cilandak,Cilandak Barat,CURAS,12:00-18:00,33,Low,23,12,9,18,6,dummy-v1,True
RS-00620,2025-10-01,JKS-012,Cilandak,Cilandak Barat,CURANMOR,18:00-23:59,40,Low,10,12,11,15,4,dummy-v1,True
RS-00621,2025-10-08,JKS-012,Cilandak,Cilandak Barat,CURAT,00:00-06:00,72,High,26,9,14,11,9,dummy-v1,True
RS-00622,2025-10-08,JKS-012,Cilandak,Cilandak Barat,CURAS,06:00-12:00,37,Low,15,6,8,9,8,dummy-v1,True
RS-00623,2025-10-08,JKS-012,Cilandak,Cilandak Barat,CURANMOR,12:00-18:00,49,Moderate,24,18,8,10,6,dummy-v1,True
RS-00624,2025-10-08,JKS-012,Cilandak,Cilandak Barat,CURANMOR,18:00-23:59,42,Low,26,8,7,14,3,dummy-v1,True
RS-00625,2025-10-15,JKS-012,Cilandak,Cilandak Barat,CURANMOR,00:00-06:00,69,Moderate,18,6,18,8,6,dummy-v1,True
RS-00626,2025-10-15,JKS-012,Cilandak,Cilandak Barat,CURAT,06:00-12:00,42,Low,29,21,11,5,10,dummy-v1,True
RS-00627,2025-10-15,JKS-012,Cilandak,Cilandak Barat,CURAS,12:00-18:00,34,Low,23,16,17,14,0,dummy-v1,True
RS-00628,2025-10-15,JKS-012,Cilandak,Cilandak Barat,CURAS,18:00-23:59,59,Moderate,23,21,19,9,5,dummy-v1,True
RS-00629,2025-10-22,JKS-012,Cilandak,Cilandak Barat,CURAS,00:00-06:00,54,Moderate,29,10,10,20,3,dummy-v1,True
RS-00630,2025-10-22,JKS-012,Cilandak,Cilandak Barat,CURAS,06:00-12:00,25,Low,20,11,6,8,5,dummy-v1,True
RS-00631,2025-10-22,JKS-012,Cilandak,Cilandak Barat,CURAT,12:00-18:00,61,Moderate,30,13,15,20,1,dummy-v1,True
RS-00632,2025-10-22,JKS-012,Cilandak,Cilandak Barat,CURANMOR,18:00-23:59,57,Moderate,26,14,17,13,1,dummy-v1,True
RS-00633,2025-10-29,JKS-012,Cilandak,Cilandak Barat,CURAS,00:00-06:00,73,High,28,19,17,11,10,dummy-v1,True
RS-00634,2025-10-29,JKS-012,Cilandak,Cilandak Barat,CURAS,06:00-12:00,64,Moderate,20,9,14,11,3,dummy-v1,True
RS-00635,2025-10-29,JKS-012,Cilandak,Cilandak Barat,CURANMOR,12:00-18:00,53,Moderate,28,19,13,19,10,dummy-v1,True
RS-00636,2025-10-29,JKS-012,Cilandak,Cilandak Barat,CURANMOR,18:00-23:59,62,Moderate,24,7,16,15,5,dummy-v1,True
RS-00637,2025-11-05,JKS-012,Cilandak,Cilandak Barat,CURAS,00:00-06:00,61,Moderate,21,11,13,6,3,dummy-v1,True
RS-00638,2025-11-05,JKS-012,Cilandak,Cilandak Barat,CURAS,06:00-12:00,64,Moderate,15,23,19,16,1,dummy-v1,True
RS-00639,2025-11-05,JKS-012,Cilandak,Cilandak Barat,CURAS,12:00-18:00,33,Low,10,18,16,19,8,dummy-v1,True
RS-00640,2025-11-05,JKS-012,Cilandak,Cilandak Barat,CURAT,18:00-23:59,72,High,25,22,18,5,5,dummy-v1,True
RS-00641,2025-11-12,JKS-012,Cilandak,Cilandak Barat,CURAT,00:00-06:00,45,Moderate,15,6,11,5,10,dummy-v1,True
RS-00642,2025-11-12,JKS-012,Cilandak,Cilandak Barat,CURAS,06:00-12:00,38,Low,16,25,13,7,8,dummy-v1,True
RS-00643,2025-11-12,JKS-012,Cilandak,Cilandak Barat,CURAS,12:00-18:00,48,Moderate,12,8,9,8,8,dummy-v1,True
RS-00644,2025-11-12,JKS-012,Cilandak,Cilandak Barat,CURAT,18:00-23:59,63,Moderate,25,10,15,14,6,dummy-v1,True
