report_id,reported_at,incident_time,category,description,latitude,longitude,location_text,urgency_score,verification_score,status,is_synthetic
RPT-0134,2025-09-16T21:19,2025-09-16T16:19,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.257046,106.855937,Sekitar Kalibata (data sintetis),55,92,Selesai,True
RPT-0135,2025-09-25T08:33,2025-09-25T03:33,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.254567,106.830889,Sekitar Duren Tiga (data sintetis),40,41,Selesai,True
RPT-0136,2025-01-08T18:31,2025-01-08T16:31,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.218146,106.838973,Sekitar Menteng Atas (data sintetis),44,87,Diteruskan,True
RPT-0137,2025-03-21T13:03,2025-03-21T06:03,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.280125,106.810316,Sekitar Cipete Selatan (data sintetis),32,75,Diterima,True
RPT-0138,2025-07-04T02:36,2025-07-03T20:36,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.20929,106.848538,Sekitar Manggarai (data sintetis),34,39,Diteruskan,True
RPT-0139,2025-09-22T20:03,2025-09-22T20:03,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.254908,106.832728,Sekitar Duren Tiga (data sintetis),26,69,Diverifikasi,True
RPT-0140,2025-11-22T22:01,2025-11-22T21:01,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.218155,106.828762,Sekitar Karet Kuningan (data sintetis),97,64,Ditangani,True
RPT-0141,2025-11-05T13:51,2025-11-05T10:51,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.216499,106.838691,Sekitar Menteng Atas (data sintetis),94,51,Selesai,True
RPT-0142,2025-01-29T18:34,2025-01-29T14:34,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.345979,106.824332,Sekitar Srengseng Sawah (data sintetis),22,79,Diverifikasi,True
RPT-0143,2025-08-19T01:17,2025-08-18T20:17,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.287232,106.796604,Sekitar Gandaria Selatan (data sintetis),69,52,Selesai,True
RPT-0144,2025-01-23T22:41,2025-01-23T21:41,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.283467,106.835988,Sekitar Jati Padang (data sintetis),79,69,Selesai,True
RPT-0145,2025-12-17T14:13,2025-12-17T12:13,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.311248,106.820005,Sekitar Ragunan (data sintetis),75,88,Diverifikasi,True
RPT-0146,2025-08-09T11:06,2025-08-09T06:06,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.266136,106.799348,Sekitar Cipete Utara (data sintetis),54,72,Diterima,True
RPT-0147,2025-09-04T20:20,2025-09-04T17:20,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.313862,106.836145,Sekitar Lenteng Agung (data sintetis),69,60,Diteruskan,True
RPT-0148,2025-08-02T13:13,2025-08-02T11:13,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.335143,106.819826,Sekitar Jagakarsa (data sintetis),92,92,Diverifikasi,True
RPT-0149,2025-02-18T07:17,2025-02-18T00:17,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.27705,106.768199,Sekitar Pondok Pinang (data sintetis),47,55,Ditangani,True
RPT-0150,2025-07-21T03:13,2025-07-21T02:13,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.245177,106.819266,Sekitar Mampang Prapatan (data sintetis),48,69,Diterima,True
RPT-0151,2025-05-17T02:02,2025-05-16T20:02,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.254549,106.83026,Sekitar Duren Tiga (data sintetis),95,64,Diterima,True
RPT-0152,2025-04-04T23:02,2025-04-04T16:02,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.334383,106.817126,Sekitar Jagakarsa (data sintetis),78,76,Diterima,True
RPT-0153,2025-09-29T21:45,2025-09-29T15:45,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.22802,106.799796,Sekitar Senayan (data sintetis),30,76,Selesai,True
RPT-0154,2025-04-05T04:04,2025-04-05T04:04,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.23964,106.83557,Sekitar Menteng Dalam (data sintetis),33,77,Selesai,True
RPT-0155,2025-11-18T09:37,2025-11-18T07:37,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.234856,106.846852,Sekitar Tebet Barat (data sintetis),94,84,Selesai,True
RPT-0156,2025-10-08T21:03,2025-10-08T15:03,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.227428,106.798717,Sekitar Senayan (data sintetis),81,86,Diverifikasi,True
RPT-0157,2025-02-04T11:26,2025-02-04T04:26,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.334888,106.795703,Sekitar Ciganjur (data sintetis),82,67,Diverifikasi,True
RPT-0158,2025-03-05T13:30,2025-03-05T12:30,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.256888,106.816392,Sekitar Bangka (data sintetis),88,50,Ditangani,True
RPT-0159,2025-04-25T21:04,2025-04-25T17:04,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.234562,106.848559,Sekitar Tebet Barat (data sintetis),23,76,Diterima,True
RPT-0160,2025-08-01T15:45,2025-08-01T10:45,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.279464,106.811405,Sekitar Cipete Selatan (data sintetis),61,62,Diteruskan,True
RPT-0161,2025-03-25T16:12,2025-03-25T12:12,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.310702,106.819691,Sekitar Ragunan (data sintetis),28,37,Diteruskan,True
RPT-0162,2025-06-01T06:07,2025-06-01T04:07,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.240065,106.809347,Sekitar Pulo (data sintetis),33,58,Diverifikasi,True
RPT-0163,2025-04-30T02:29,2025-04-30T02:29,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.218075,106.838086,Sekitar Menteng Atas (data sintetis),76,87,Diterima,True
RPT-0164,2025-03-11T04:21,2025-03-11T03:21,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.232334,106.833612,Sekitar Kuningan Timur (data sintetis),25,58,Ditangani,True
RPT-0165,2025-08-02T22:36,2025-08-02T17:36,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.230641,106.833211,Sekitar Kuningan Timur (data sintetis),68,43,Selesai,True
RPT-0166,2025-02-24T19:27,2025-02-24T16:27,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.234518,106.847137,Sekitar Tebet Barat (data sintetis),48,81,Ditangani,True
RPT-0167,2025-04-28T04:14,2025-04-28T02:14,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.216279,106.838208,Sekitar Menteng Atas (data sintetis),54,78,Diterima,True
RPT-0168,2025-04-04T22:52,2025-04-04T19:52,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.227453,106.798801,Sekitar Senayan (data sintetis),48,49,Diverifikasi,True
RPT-0169,2025-08-14T21:45,2025-08-14T21:45,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.253749,106.829229,Sekitar Duren Tiga (data sintetis),28,93,Ditangani,True
RPT-0170,2025-07-25T15:56,2025-07-25T13:56,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.209502,106.849243,Sekitar Manggarai (data sintetis),33,48,Selesai,True
RPT-0171,2025-01-24T21:39,2025-01-24T15:39,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.227103,106.801221,Sekitar Senayan (data sintetis),77,48,Ditangani,True
RPT-0172,2025-09-07T05:38,2025-09-07T03:38,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.26457,106.79909,Sekitar Cipete Utara (data sintetis),75,37,Ditangani,True
RPT-0173,2025-03-23T17:53,2025-03-23T10:53,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.275521,106.849021,Sekitar Pejaten Timur (data sintetis),23,51,Diterima,True
RPT-0174,2025-02-17T06:04,2025-02-17T02:04,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.253317,106.831395,Sekitar Duren Tiga (data sintetis),83,46,Ditangani,True
RPT-0175,2025-03-15T23:44,2025-03-15T19:44,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.251003,106.770387,Sekitar Kebayoran Lama Utara (data sintetis),77,77,Ditangani,True
RPT-0176,2025-05-25T03:25,2025-05-24T22:25,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.217996,106.839244,Sekitar Menteng Atas (data sintetis),88,37,Diteruskan,True
RPT-0177,2025-01-24T18:01,2025-01-24T17:01,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.255414,106.82228,Sekitar Tegal Parang (data sintetis),99,80,Diterima,True
RPT-0178,2025-05-01T16:43,2025-05-01T15:43,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.228413,106.833665,Sekitar Kuningan Timur (data sintetis),69,63,Diterima,True
RPT-0179,2025-06-20T00:52,2025-06-19T17:52,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.226738,106.79969,Sekitar Senayan (data sintetis),48,58,Ditangani,True
RPT-0180,2025-12-25T01:24,2025-12-24T22:24,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.246756,106.794397,Sekitar Kramat Pela (data sintetis),63,61,Selesai,True
RPT-0181,2025-02-22T07:25,2025-02-22T01:25,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.275897,106.848288,Sekitar Pejaten Timur (data sintetis),71,90,Ditangani,True
RPT-0182,2025-08-11T18:43,2025-08-11T15:43,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.226825,106.800854,Sekitar Senayan (data sintetis),95,82,Ditangani,True
RPT-0183,2025-08-01T09:11,2025-08-01T04:11,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.239343,106.835254,Sekitar Menteng Dalam (data sintetis),40,41,Diverifikasi,True
RPT-0184,2025-09-15T11:39,2025-09-15T06:39,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.237407,106.793463,Sekitar Gunung (data sintetis),61,62,Diteruskan,True
RPT-0185,2025-10-10T20:02,2025-10-10T14:02,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.29359,106.774822,Sekitar Lebak Bulus (data sintetis),61,37,Selesai,True
RPT-0186,2025-09-17T18:26,2025-09-17T15:26,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.265084,106.798233,Sekitar Cipete Utara (data sintetis),50,79,Selesai,True
RPT-0187,2025-04-04T10:22,2025-04-04T07:22,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.27484,106.833305,Sekitar Pejaten Barat (data sintetis),64,92,Selesai,True
RPT-0188,2025-04-01T03:41,2025-04-01T00:41,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.275389,106.848163,Sekitar Pejaten Timur (data sintetis),71,54,Selesai,True
RPT-0189,2025-09-22T22:37,2025-09-22T22:37,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.310885,106.837409,Sekitar Lenteng Agung (data sintetis),67,57,Ditangani,True
RPT-0190,2025-11-17T03:50,2025-11-17T02:50,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.254387,106.823653,Sekitar Tegal Parang (data sintetis),57,47,Diterima,True
RPT-0191,2025-06-24T23:14,2025-06-24T19:14,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.237685,106.792077,Sekitar Gunung (data sintetis),67,42,Ditangani,True
RPT-0192,2025-06-24T00:58,2025-06-23T18:58,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.247346,106.819488,Sekitar Mampang Prapatan (data sintetis),48,90,Selesai,True
RPT-0193,2025-08-03T12:29,2025-08-03T10:29,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.230101,106.83366,Sekitar Kuningan Timur (data sintetis),94,41,Ditangani,True
RPT-0194,2025-10-11T01:33,2025-10-10T22:33,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.254468,106.831933,Sekitar Duren Tiga (data sintetis),99,80,Diterima,True
RPT-0195,2025-05-02T20:28,2025-05-02T14:28,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.227959,106.801821,Sekitar Senayan (data sintetis),79,80,Selesai,True
RPT-0196,2025-12-14T05:53,2025-12-14T00:53,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.228783,106.853478,Sekitar Tebet Timur (data sintetis),93,36,Diteruskan,True
RPT-0197,2025-09-22T10:15,2025-09-22T06:15,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.279303,106.809752,Sekitar Cipete Selatan (data sintetis),44,67,Selesai,True
RPT-0198,2025-08-21T19:00,2025-08-21T17:00,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.276772,106.830992,Sekitar Pejaten Barat (data sintetis),72,46,Diverifikasi,True
RPT-0199,2025-03-31T18:21,2025-03-31T12:21,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.229882,106.856413,Sekitar Tebet Timur (data sintetis),82,72,Diverifikasi,True
RPT-0200,2025-12-29T08:44,2025-12-29T07:44,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.238681,106.836563,Sekitar Menteng Dalam (data sintetis),45,62,Diterima,True
RPT-0201,2025-03-26T22:54,2025-03-26T21:54,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.241609,106.810652,Sekitar Pulo (data sintetis),66,84,Diterima,True
RPT-0202,2025-08-03T11:01,2025-08-03T09:01,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.345389,106.823983,Sekitar Srengseng Sawah (data sintetis),83,57,Diteruskan,True
RPT-0203,2025-08-31T06:45,2025-08-31T03:45,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.334943,106.795128,Sekitar Ciganjur (data sintetis),91,74,Diteruskan,True
RPT-0204,2025-01-07T07:09,2025-01-07T03:09,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.284972,106.833278,Sekitar Jati Padang (data sintetis),61,86,Selesai,True
RPT-0205,2025-11-13T22:05,2025-11-13T20:05,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.274906,106.833,Sekitar Pejaten Barat (data sintetis),50,93,Selesai,True
RPT-0206,2025-06-25T00:04,2025-06-24T20:04,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.240021,106.810442,Sekitar Pulo (data sintetis),52,89,Diteruskan,True
RPT-0207,2025-05-07T18:41,2025-05-07T18:41,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.231654,106.781223,Sekitar Grogol Utara (data sintetis),34,88,Selesai,True
RPT-0208,2025-05-13T21:54,2025-05-13T20:54,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.310211,106.819446,Sekitar Ragunan (data sintetis),74,61,Diverifikasi,True
RPT-0209,2025-09-13T06:41,2025-09-13T05:41,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.249188,106.839019,Sekitar Pancoran (data sintetis),48,86,Diteruskan,True
RPT-0210,2025-06-27T20:35,2025-06-27T15:35,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.217472,106.830405,Sekitar Karet Kuningan (data sintetis),32,47,Selesai,True
RPT-0211,2025-11-25T10:57,2025-11-25T09:57,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.257682,106.857205,Sekitar Kalibata (data sintetis),21,39,Ditangani,True
RPT-0212,2025-07-26T04:04,2025-07-25T23:04,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.248581,106.792518,Sekitar Kramat Pela (data sintetis),34,87,Selesai,True
RPT-0213,2025-08-12T20:00,2025-08-12T16:00,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.239328,106.836155,Sekitar Menteng Dalam (data sintetis),60,87,Diverifikasi,True
RPT-0214,2025-03-16T22:22,2025-03-16T16:22,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.230564,106.780107,Sekitar Grogol Utara (data sintetis),32,88,Ditangani,True
RPT-0215,2025-06-22T23:28,2025-06-22T18:28,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.27868,106.812031,Sekitar Cipete Selatan (data sintetis),41,42,Ditangani,True
RPT-0216,2025-08-05T21:15,2025-08-05T16:15,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.239985,106.809862,Sekitar Pulo (data sintetis),95,44,Diterima,True
RPT-0217,2025-11-16T05:31,2025-11-15T22:31,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.24051,106.808021,Sekitar Pulo (data sintetis),93,39,Diterima,True
RPT-0218,2025-01-29T10:40,2025-01-29T03:40,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.33741,106.819996,Sekitar Jagakarsa (data sintetis),67,61,Diterima,True
RPT-0219,2025-01-09T18:49,2025-01-09T14:49,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.230261,106.833865,Sekitar Kuningan Timur (data sintetis),79,61,Diterima,True
RPT-0220,2025-01-30T06:21,2025-01-30T03:21,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.236291,106.792138,Sekitar Gunung (data sintetis),82,45,Ditangani,True
RPT-0221,2025-11-15T18:39,2025-11-15T17:39,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.256841,106.814802,Sekitar Bangka (data sintetis),23,88,Selesai,True
RPT-0222,2025-11-30T04:48,2025-11-30T02:48,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.27648,106.767164,Sekitar Pondok Pinang (data sintetis),66,57,Selesai,True
RPT-0223,2025-08-13T02:46,2025-08-13T02:46,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.255846,106.814219,Sekitar Bangka (data sintetis),88,86,Selesai,True
RPT-0224,2025-06-04T22:41,2025-06-04T19:41,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.274716,106.767095,Sekitar Pondok Pinang (data sintetis),66,84,Selesai,True
RPT-0225,2025-08-07T08:56,2025-08-07T01:56,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.272961,106.834267,Sekitar Pejaten Barat (data sintetis),20,43,Diterima,True
RPT-0226,2025-04-12T06:23,2025-04-12T06:23,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.251161,106.838031,Sekitar Pancoran (data sintetis),62,85,Diteruskan,True
RPT-0227,2025-01-20T22:53,2025-01-20T20:53,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.28642,106.833809,Sekitar Jati Padang (data sintetis),43,38,Selesai,True
RPT-0228,2025-03-01T10:52,2025-03-01T08:52,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.255261,106.824163,Sekitar Tegal Parang (data sintetis),98,35,Diverifikasi,True
RPT-0229,2025-02-24T20:29,2025-02-24T13:29,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.231491,106.854586,Sekitar Tebet Timur (data sintetis),56,89,Diteruskan,True
RPT-0230,2025-10-12T08:06,2025-10-12T03:06,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.230085,106.855217,Sekitar Tebet Timur (data sintetis),24,54,Diteruskan,True
RPT-0231,2025-11-02T20:09,2025-11-02T16:09,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.276561,106.833661,Sekitar Pejaten Barat (data sintetis),33,71,Diteruskan,True
RPT-0232,2025-12-01T19:35,2025-12-01T12:35,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.24859,106.793689,Sekitar Kramat Pela (data sintetis),69,58,Diterima,True
RPT-0233,2025-01-19T22:30,2025-01-19T15:30,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.334361,106.818825,Sekitar Jagakarsa (data sintetis),28,95,Selesai,True
RPT-0234,2025-08-17T08:00,2025-08-17T02:00,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.216638,106.838806,Sekitar Menteng Atas (data sintetis),35,79,Diteruskan,True
RPT-0235,2025-04-11T22:42,2025-04-11T16:42,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.227402,106.801553,Sekitar Senayan (data sintetis),21,81,Ditangani,True
RPT-0236,2025-05-12T23:31,2025-05-12T17:31,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.253292,106.769586,Sekitar Kebayoran Lama Utara (data sintetis),58,66,Ditangani,True
RPT-0237,2025-09-30T17:39,2025-09-30T11:39,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.293312,106.776031,Sekitar Lebak Bulus (data sintetis),22,37,Ditangani,True
RPT-0238,2025-12-28T03:15,2025-12-28T03:15,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.218793,106.838766,Sekitar Menteng Atas (data sintetis),77,76,Diverifikasi,True
RPT-0239,2025-12-21T14:14,2025-12-21T12:14,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.274394,106.833937,Sekitar Pejaten Barat (data sintetis),27,57,Ditangani,True
RPT-0240,2025-05-28T15:13,2025-05-28T13:13,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.238326,106.808775,Sekitar Pulo (data sintetis),91,91,Ditangani,True
RPT-0241,2025-10-18T23:36,2025-10-18T17:36,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.235986,106.847439,Sekitar Tebet Barat (data sintetis),45,85,Diteruskan,True
RPT-0242,2025-12-07T01:20,2025-12-07T00:20,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.238425,106.83549,Sekitar Menteng Dalam (data sintetis),77,78,Diterima,True
RPT-0243,2025-04-29T05:36,2025-04-29T03:36,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.273769,106.83095,Sekitar Pejaten Barat (data sintetis),60,90,Selesai,True
RPT-0244,2025-04-23T18:37,2025-04-23T14:37,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.238833,106.809723,Sekitar Pulo (data sintetis),50,52,Diverifikasi,True
RPT-0245,2025-03-07T22:03,2025-03-07T19:03,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.217177,106.831368,Sekitar Karet Kuningan (data sintetis),58,79,Selesai,True
RPT-0246,2025-06-02T20:57,2025-06-02T18:57,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.228997,106.854446,Sekitar Tebet Timur (data sintetis),73,36,Selesai,True
RPT-0247,2025-07-12T23:17,2025-07-12T20:17,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.230627,106.855688,Sekitar Tebet Timur (data sintetis),58,69,Ditangani,True
RPT-0248,2025-07-31T16:50,2025-07-31T13:50,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.333759,106.818301,Sekitar Jagakarsa (data sintetis),37,70,Ditangani,True
RPT-0249,2025-02-04T11:46,2025-02-04T10:46,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.250264,106.839558,Sekitar Pancoran (data sintetis),31,53,Diterima,True
RPT-0250,2025-04-22T09:33,2025-04-22T02:33,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.289407,106.800962,Sekitar Cilandak Barat (data sintetis),52,42,Diverifikasi,True
RPT-0251,2025-12-07T18:29,2025-12-07T17:29,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.28503,106.833864,Sekitar Jati Padang (data sintetis),78,60,Diteruskan,True
RPT-0252,2025-03-12T10:44,2025-03-12T08:44,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.277529,106.811733,Sekitar Cipete Selatan (data sintetis),51,50,Diteruskan,True
RPT-0253,2025-11-03T00:24,2025-11-02T23:24,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.278869,106.810908,Sekitar Cipete Selatan (data sintetis),62,40,Diverifikasi,True
RPT-0254,2025-01-23T03:13,2025-01-23T00:13,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.254773,106.821953,Sekitar Tegal Parang (data sintetis),68,91,Diterima,True
RPT-0255,2025-07-12T06:12,2025-07-12T01:12,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.336018,106.820947,Sekitar Jagakarsa (data sintetis),68,68,Diteruskan,True
RPT-0256,2025-03-18T08:57,2025-03-18T04:57,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.218686,106.839646,Sekitar Menteng Atas (data sintetis),57,80,Ditangani,True
RPT-0257,2025-12-02T07:23,2025-12-02T03:23,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.240226,106.807923,Sekitar Pulo (data sintetis),51,35,Ditangani,True
RPT-0258,2025-03-07T04:29,2025-03-07T01:29,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.274264,106.833293,Sekitar Pejaten Barat (data sintetis),22,76,Selesai,True
RPT-0259,2025-10-28T14:33,2025-10-28T09:33,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.274765,106.833601,Sekitar Pejaten Barat (data sintetis),62,36,Selesai,True
RPT-0260,2025-09-23T10:46,2025-09-23T09:46,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.257758,106.812698,Sekitar Bangka (data sintetis),30,43,Diverifikasi,True
RPT-0261,2025-01-27T14:54,2025-01-27T08:54,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.207915,106.849645,Sekitar Manggarai (data sintetis),82,59,Selesai,True
RPT-0262,2025-05-20T01:05,2025-05-19T20:05,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.284886,106.835814,Sekitar Jati Padang (data sintetis),95,37,Diterima,True
RPT-0263,2025-02-26T09:40,2025-02-26T02:40,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.256828,106.857854,Sekitar Kalibata (data sintetis),33,42,Ditangani,True
RPT-0264,2025-05-20T12:46,2025-05-20T10:46,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.332681,106.79423,Sekitar Ciganjur (data sintetis),80,45,Diteruskan,True
RPT-0265,2025-05-30T06:15,2025-05-30T02:15,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.344818,106.823788,Sekitar Srengseng Sawah (data sintetis),47,86,Diverifikasi,True
RPT-0266,2025-03-05T22:29,2025-03-05T21:29,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.274576,106.76749,Sekitar Pondok Pinang (data sintetis),33,47,Ditangani,True
RPT-0267,2025-02-02T13:39,2025-02-02T13:39,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.228532,106.854633,Sekitar Tebet Timur (data sintetis),23,68,Ditangani,True
